Done in 9.838456153869629
3+00:00] Imported: 1, batch_size: 50
[2022-12-14 20:32:02.638400+00:00] Imported: 344, batch_size: 50
[2022-12-14 20:32:02.639837+00:00] Imported: 345, batch_size: 50
[2022-12-14 20:32:02.641309+00:00] Imported: 346, batch_size: 50
[2022-12-14 20:32:02.642678+00:00] Imported: 347, batch_size: 50
[2022-12-14 20:32:02.644035+00:00] Imported: 348, batch_size: 50
[2022-12-14 20:32:02.645398+00:00] Imported: 349, batch_size: 50
[2022-12-14 20:32:02.646839+00:00] Imported: 350, batch_size: 50
[2022-12-14 20:32:02.648200+00:00] Imported: 351, batch_size: 50
[2022-12-14 20:32:02.649580+00:00] Imported: 352, batch_size: 50
[2022-12-14 20:32:02.651024+00:00] Imported: 353, batch_size: 50
[2022-12-14 20:32:02.652455+00:00] Imported: 354, batch_size: 50
[2022-12-14 20:32:02.656658+00:00] Imported: 355, batch_size: 50
[2022-12-14 20:32:02.658244+00:00] Imported: 356, batch_size: 50
[2022-12-14 20:32:02.659635+00:00] Imported: 357, batch_size: 50
[2022-12-14 20:32:02.661027+00:00] Imported: 358, batch_size: 50
[2022-12-14 20:32:02.662376+00:00] Imported: 359, batch_size: 50
[2022-12-14 20:32:02.664124+00:00] Imported: 360, batch_size: 50
[2022-12-14 20:32:02.665585+00:00] Imported: 361, batch_size: 50
[2022-12-14 20:32:02.667010+00:00] Imported: 362, batch_size: 50
[2022-12-14 20:32:02.668375+00:00] Imported: 363, batch_size: 50
[2022-12-14 20:32:02.669809+00:00] Imported: 364, batch_size: 50
[2022-12-14 20:32:02.671184+00:00] Imported: 365, batch_size: 50
[2022-12-14 20:32:02.672705+00:00] Imported: 366, batch_size: 50
[2022-12-14 20:32:02.674141+00:00] Imported: 367, batch_size: 50
[2022-12-14 20:32:02.675629+00:00] Imported: 368, batch_size: 50
[2022-12-14 20:32:02.677045+00:00] Imported: 369, batch_size: 50
[2022-12-14 20:32:02.678403+00:00] Imported: 370, batch_size: 50
[2022-12-14 20:32:02.679757+00:00] Imported: 371, batch_size: 50
